"from","to","strength","direction"
"ZNF865","ZNF318",0.96,0.791666666666667
"ZNF865","ASH1L",0.98,0.673469387755102
"ZNF865","ZNF510",0.84,0.761904761904762
"ZNF865","ZNF581",0.76,0.763157894736842
"ZNF865","RBFOX2",0.98,0.714285714285714
"ZNF865","RELA",0.78,0.615384615384615
"ZNF865","ZNF277",1,0.74
"ZNF865","ZNF396",0.86,0.72093023255814
"ZNF865","TFE3",0.84,0.69047619047619
"ZNF865","FOXP2",0.74,1
"ZNF865","CHD8",0.98,1
"ZNF865","KCTD13",0.76,1
"ZNF865","YPEL3",1,1
"ZNF865","MECP2",0.74,1
"RBFOX3","ZNF865",1,0.74
"RBFOX3","ZNF653",1,0.64
"RBFOX3","ZNF335",1,0.58
"RBFOX3","ZNF318",0.9,0.866666666666667
"RBFOX3","RBFOX1",1,0.76
"RBFOX3","ZNF365",0.96,0.833333333333333
"RBFOX3","ZNF510",0.72,0.888888888888889
"RBFOX3","TBR1",0.72,0.722222222222222
"RBFOX3","ZNF667",1,0.66
"RBFOX3","ZNF513",0.88,0.659090909090909
"RBFOX3","RBFOX2",1,0.98
"RBFOX3","ZNF512B",0.72,0.722222222222222
"RBFOX3","ZNF277",0.82,0.731707317073171
"RBFOX3","TP53",0.86,0.604651162790698
"RBFOX3","USF1",1,0.82
"RBFOX3","ZNF396",0.94,0.74468085106383
"RBFOX3","FOXK2",0.94,0.638297872340426
"RBFOX3","KCTD13",1,1
"RBFOX3","PPP4C",0.88,1
"RBFOX3","YPEL3",1,1
"RBFOX3","SHANK3",0.96,1
"RBFOX3","MECP2",0.88,1
"ZNF524","ZNF438",1,0.94
"ZNF524","ZNF318",0.92,0.804347826086957
"ZNF524","RBFOX1",0.78,0.717948717948718
"ZNF524","ZNF581",1,0.6
"ZNF524","RBFOX2",1,0.74
"ZNF524","ZNF277",1,0.9
"ZNF524","SATB2",1,0.62
"ZNF524","TFE3",0.96,0.583333333333333
"ZNF524","CNTNAP2",1,1
"ZNF524","CACNA1C",0.88,1
"ZNF524","ALDOA",0.84,1
