"SampleID","Upper rhombic lip","Splatter","Lower rhombic lip","Mammillary body","Thalamic excitatory","Amygdala excitatory","Medium spiny neuron","Eccentric medium spiny neuron","Miscellaneous","Cerebellar inhibitory","Midbrain-derived inhibitory","CGE interneuron","LAMP5-LHX6 and Chandelier","MGE interneuron","Deep-layer near-projecting","Deep-layer corticothalamic and 6b","Hippocampal CA1-3","Upper-layer intratelencephalic","Deep-layer intratelencephalic","Hippocampal dentate gyrus","Hippocampal CA4","oligodendrocyte","astrocyte","Bergmann glial cell","oligodendrocyte precursor cell","ependymal cell","choroid plexus epithelial cell","fibroblast","pericyte","vascular associated smooth muscle cell","endothelial cell","central nervous system macrophage"
"GTEX-1117F-0226-SM-5GZZ7",0,0,0,0,0.0269579914378075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973042008562192,0,0,0,0,0,0
"GTEX-1117F-0426-SM-5EGHI",0,0,0,0,0.0673655526001487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932634447399851,0,0,0,0,0,0
"GTEX-1117F-0526-SM-5EGHJ",0,0,0,0,0.00538389446335409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650815190261234,0,0,0,0.343800915275412,0,0
"GTEX-1117F-0626-SM-5N9CS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818670466909648,0,0,0,0.181329533090352,0,0
"GTEX-1117F-0726-SM-5GIEN",0,0,0,0,0.0322105102120156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967789489787984,0,0,0,0,0,0
"GTEX-1117F-1326-SM-5EGHH",0,0,0,0,0.0206007701166743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979399229883326,0,0,0,0,0,0
"GTEX-1117F-2426-SM-5EGGH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796312944154315,0,0,0,0.203687055845685,0,0
"GTEX-1117F-2526-SM-5GZY6",0,0,0,0,0.0208157776428469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979184222357153,0,0,0,0,0,0
"GTEX-1117F-2826-SM-5GZXL",0,0,0,0,0.0272764738883898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97272352611161,0,0,0,0,0,0
"GTEX-1117F-2926-SM-5GZYI",0,0,0,0,0.0225677659871828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977432234012817,0,0,0,0,0,0
"GTEX-1117F-3026-SM-5GZYU",0,0,0,0,0.063239727312436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936760272687564,0,0,0,0,0,0
"GTEX-1117F-3226-SM-5N9CT",0,0,0,0,0.0217581945389511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978241805461049,0,0,0,0,0,0
"GTEX-111CU-0126-SM-5GZWZ",0,0,0,0,0.0542927527751995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9457072472248,0,0,0,0,0,0
"GTEX-111CU-0226-SM-5GZXC",0,0,0,0,0.0381834230523204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96181657694768,0,0,0,0,0,0
"GTEX-111CU-0326-SM-5GZXO",0,0,0,0,0.0242538439190984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975746156080902,0,0,0,0,0,0
"GTEX-111CU-0426-SM-5GZY1",0,0,0,0,0.0278028599506195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972197140049381,0,0,0,0,0,0
"GTEX-111CU-0526-SM-5EGHK",0,0,0,0,0.0287214575142121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971278542485788,0,0,0,0,0,0
"GTEX-111CU-0626-SM-5EGHL",0,0,0,0,0.0212526538171572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978747346182843,0,0,0,0,0,0
"GTEX-111CU-0726-SM-5GZYD",0,0,0,0,0.0390302441170297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96096975588297,0,0,0,0,0,0
"GTEX-111CU-0826-SM-5EGIJ",0,0,0,0,0.0230058470543933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976994152945607,0,0,0,0,0,0
"GTEX-111CU-0926-SM-5EGIK",0,0,0,0,0.0258210880203479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974178911979652,0,0,0,0,0,0
"GTEX-111CU-1026-SM-5EGIL",0,0,0,0,0.0259401642386825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974059835761317,0,0,0,0,0,0
"GTEX-111CU-1126-SM-5EGIM",0,0,0,0,0.040375361177256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959624638822744,0,0,0,0,0,0
"GTEX-111CU-1226-SM-5EGIN",0,0,0,0,0.0222814044287323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977718595571268,0,0,0,0,0,0
"GTEX-111CU-1326-SM-5NQ8L",0,0,0,0,0.0210647980419285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978935201958071,0,0,0,0,0,0
"GTEX-111CU-1426-SM-5GZYP",0,0,0,0,0.0609026111884796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93909738881152,0,0,0,0,0,0
"GTEX-111CU-1526-SM-5N9FS",0,0,0,0,0.024446609710276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975553390289724,0,0,0,0,0,0
"GTEX-111CU-1726-SM-5EGHM",0,0,0,0,0.0272843494548484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972715650545152,0,0,0,0,0,0
"GTEX-111CU-1826-SM-5GZYN",0,0,0,0,0.0220742041033853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977925795896615,0,0,0,0,0,0
"GTEX-111CU-2026-SM-5GZZC",0,0,0,0,0.0399947368626619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.960005263137338,0,0,0,0,0,0
"GTEX-111CU-2226-SM-5N9G5",0,0,0,0,0.0182804503447233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981719549655277,0,0,0,0,0,0
"GTEX-111FC-0126-SM-5N9DL",0,0,0,0,0.0522088194803748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947791180519625,0,0,0,0,0,0
"GTEX-111FC-0226-SM-5N9B8",0,0,0,0,0.0309554216781845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969044578321816,0,0,0,0,0,0
"GTEX-111FC-0326-SM-5GZZ1",0,0,0,0,0.0467983666817053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953201633318295,0,0,0,0,0,0
"GTEX-111FC-0426-SM-5N9CV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"GTEX-111FC-0526-SM-5GZZ8",0,0,0,0,0.0201631996265062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979836800373494,0,0,0,0,0,0
"GTEX-111FC-0626-SM-5N9CU",0,0,0,0,0.0203313744100796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97966862558992,0,0,0,0,0,0
"GTEX-111FC-0826-SM-5GZWO",0,0,0,0,0.0253277299108559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974672270089144,0,0,0,0,0,0
"GTEX-111FC-1026-SM-5GZX1",0,0,0,0,0.032401483243501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967598516756499,0,0,0,0,0,0
"GTEX-111FC-1126-SM-5GZWU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"GTEX-111FC-1326-SM-5N9D9",0,0,0,0,0.0158380806131003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9841619193869,0,0,0,0,0,0
"GTEX-111FC-1926-SM-5GZYC",0,0,0,0,0.0341710026029571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965828997397043,0,0,0,0,0,0
"GTEX-111FC-2026-SM-5GZYO",0,0,0,0,0.0150943248991243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984905675100876,0,0,0,0,0,0
"GTEX-111FC-2526-SM-5GZXU",0,0,0,0,0.0420668742025444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957933125797456,0,0,0,0,0,0
"GTEX-111FC-2926-SM-5GZY7",0,0,0,0,0.0399155952618469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.960084404738153,0,0,0,0,0,0
