"Gene","Tissue","N_SNPs","PP_H3","PP_H4","Result"
"ALDOA","Frontal Cortex (BA9)",11,6.05775361199092e-07,6.78241296627756e-05,"NO_COLOC"
"ALDOA","Nucleus accumbens (basal ganglia)",11,7.18896304502605e-07,8.16598026061419e-05,"NO_COLOC"
"CACNA1C","Cerebellar Hemisphere",143,0.00421295356278745,0.0426578223082674,"NO_COLOC"
"CACNA1C","Cerebellum",143,0.00422514210718848,0.0404198944225324,"NO_COLOC"
"CACNA1C","Putamen (basal ganglia)",143,0.00421130150014771,0.0429606823461948,"NO_COLOC"
"CACNA1C","Substantia nigra",143,0.00419573282138347,0.0457384912672923,"NO_COLOC"
"CHD8","Cerebellar Hemisphere",20,0.000163328622382765,0.00853196534950705,"NO_COLOC"
"CNTNAP2","Cerebellum",37,4.32424651767467e-05,0.00101139858853057,"NO_COLOC"
"CNTNAP2","Cortex",37,4.21603577167974e-05,0.000987471335922825,"NO_COLOC"
"CNTNAP2","Hippocampus",37,3.18908655448029e-05,0.000758937477562627,"NO_COLOC"
"FOXP2","Anterior cingulate cortex (BA24)",36,0.000160776978402357,0.00414388340375131,"NO_COLOC"
"FOXP2","Nucleus accumbens (basal ganglia)",36,0.000263879832698706,0.00685528658037504,"NO_COLOC"
"MAPK3","Anterior cingulate cortex (BA24)",207,0.00915523270760361,0.013311404745015,"NO_COLOC"
"MAPK3","Cerebellar Hemisphere",207,0.00915835485739307,0.0130122085680884,"NO_COLOC"
"MAPK3","Cerebellum",207,0.00916123995932472,0.0127329704316845,"NO_COLOC"
"MAPK3","Cortex",207,0.0091609396181212,0.0127620976387272,"NO_COLOC"
"MAPK3","Frontal Cortex (BA9)",207,0.00915835485739307,0.0130122085680884,"NO_COLOC"
"MAPK3","Hippocampus",207,0.00915733496994165,0.0131104493664025,"NO_COLOC"
"OXTR","Amygdala",70,0.00107507177274107,0.0116963432434106,"NO_COLOC"
"OXTR","Anterior cingulate cortex (BA24)",70,0.00107514259374496,0.0116713291687268,"NO_COLOC"
"OXTR","Caudate (basal ganglia)",70,0.00107521162924108,0.0116423052180138,"NO_COLOC"
"OXTR","Cerebellar Hemisphere",70,0.00107519359967821,0.0116503177617312,"NO_COLOC"
"OXTR","Cerebellum",70,0.00107522125664925,0.0116379185378092,"NO_COLOC"
"OXTR","Cortex",70,0.00107521898137182,0.0116389614714674,"NO_COLOC"
"OXTR","Frontal Cortex (BA9)",70,0.00107519359967821,0.0116503177617312,"NO_COLOC"
"OXTR","Hippocampus",70,0.00107517996401009,0.0116561832924012,"NO_COLOC"
"OXTR","Hypothalamus",70,0.00107518724378382,0.0116530735598266,"NO_COLOC"
"OXTR","Nucleus accumbens (basal ganglia)",70,0.00107521714583669,0.0116398000991643,"NO_COLOC"
"OXTR","Putamen (basal ganglia)",70,0.00107518724378382,0.0116530735598266,"NO_COLOC"
"OXTR","Spinal cord (cervical c-1)",70,0.00107505380102918,0.011701994621013,"NO_COLOC"
"OXTR","Substantia nigra",70,0.00107494721603657,0.0117309347089634,"NO_COLOC"
"TAOK2","Cerebellar Hemisphere",8,5.77213382920923e-07,8.7907437680874e-05,"NO_COLOC"
"TBX6","Amygdala",193,0.0120020862253544,0.052763635014599,"NO_COLOC"
"TBX6","Anterior cingulate cortex (BA24)",193,0.0122107341604414,0.0522684310147421,"NO_COLOC"
"TBX6","Caudate (basal ganglia)",193,0.0124652747547133,0.0503757188868138,"NO_COLOC"
"TBX6","Cerebellar Hemisphere",193,0.0123922703483392,0.0511601181412883,"NO_COLOC"
"TBX6","Cerebellum",193,0.0125071600865579,0.0497809058574175,"NO_COLOC"
"TBX6","Cortex",193,0.0124970295645307,0.0499366146883435,"NO_COLOC"
"TBX6","Frontal Cortex (BA9)",193,0.0123922703483392,0.0511601181412883,"NO_COLOC"
"TBX6","Hippocampus",193,0.0123405667618823,0.0515736989014365,"NO_COLOC"
"TBX6","Hypothalamus",193,0.0123678400252124,0.0513677989999652,"NO_COLOC"
"TBX6","Nucleus accumbens (basal ganglia)",193,0.012488968350187,0.0500548513203717,"NO_COLOC"
"TBX6","Putamen (basal ganglia)",193,0.0123678400252124,0.0513677989999652,"NO_COLOC"
"TBX6","Spinal cord (cervical c-1)",193,0.0119555039520812,0.0528075910972016,"NO_COLOC"
"YPEL3","Caudate (basal ganglia)",194,0.0123403283558863,0.107514908499505,"NO_COLOC"
"YPEL3","Cerebellar Hemisphere",194,0.0123436890366894,0.107289823007182,"NO_COLOC"
"YPEL3","Cerebellum",194,0.0123379369485052,0.107675069807882,"NO_COLOC"
"YPEL3","Cortex",194,0.0123385541478282,0.107633734007872,"NO_COLOC"
"YPEL3","Nucleus accumbens (basal ganglia)",194,0.01233902659728,0.107602092441585,"NO_COLOC"
"YPEL3","Spinal cord (cervical c-1)",194,0.0123546952511214,0.106552287505207,"NO_COLOC"
